Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
 Modern 14 C13M,MSI,112090,104500,7590,Intel ,Core i7-1355U,3,16,DDR4 ,512GB NVMe PCIe Gen3x4 SSD,14,IPS,Intel Iris Xe Graphics,3-Cell,39,0
 TUF Gaming A15 FA507RE,Asus,166550,153900,12650,AMD,Ryzen 7 6800H,3,16,DDR5,512GB  M.2 NVMe PCIe 3.0 SSD,15,IPS,,4-cell Li-ion,56,0
 TUF Gaming A15 FA506QM,Asus,190420,176000,14420,AMD,Ryzen 7 5800H,3,16,DDR4 ,512GB M.2 NVMe PCIe 3.0 SSD,15,LED,Nvidia RTX 3060 Graphics, 3-cell Li-ion,90,0
 Cyborg 15 A12VF,MSI,171490,158900,12590,Intel ,Core i7-12650H,2,16,DDR5,512GB  NVMe PCIe Gen3x4 SSD,15,LED,NVIDIA GeForce RTX 4060,3 cell Integrated,53,0
 911X,Thunderobot,187000,174900,12100,Intel,Core i5-13500H,3,16,DDR4,512GB M.2 NVMe PCIe 4.0 SSD,15,LED,NVIDIA GeForce RTX 4060, 3-cell Li-Polymer,41,0
 Pulse 15 B13VFK,MSI,193490,179500,13990,Intel ,Core i7-13700H,2,16,DDR5,512GB NVMe PCIe Gen4x4 SSD,15,IPS,NVIDIA GeForce RTX 4060,4-Cell,90,0
 IdeaPad Gaming 3i,Lenovo,177940,165000,12940,Intel,Core i7-12650H,2,16,DDR4,512GB M.2 2280 PCIe 3.0x4 NVMe SSD,16,LED,NVIDIA GeForce RTX 3050,,71,0
 Katana 15 B12UDXK,MSI,148500,139000,9500,Intel ,Core i5-12450H,3,16,DDR5,1TB  NVMe PCIe Gen3x4 SSD,15,LED,NVIDIA GeForce RTX 3050,3 cell Integrated,53,0
 Sword 15 A12UCX,MSI,143000,134000,9000,Intel ,Core i5-12450H,3,8,DDR5,512GB NVMe PCIe Gen4x4 SSD,15,LED,Nvidia RTX 2050,3-Cell,53,0
 Cyborg 15 A12VE,MSI,139590,129500,10090,Intel ,Core i5-12450H,3,16,DDR5,512GB  NVMe PCIe Gen3x4 SSD,15,LED,RTX 4050,3 cell Integrated,53,0
 TUF Dash F15 FX517ZE,Asus,169290,153900,15390,Intel,Core i5-12450H,3,16,DDR5,512GB M.2 NVME PCIE 3.0 SSD,15,LED,Nvidia RTX 3050 Ti,4 Cell,76,0
